item_name,price,description,dietery,features,rating
Chicken Whopper Jr Double Patty.,139,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours. Qty: 228 Gms| Kcal: 695.26 | Carbs 67.94 Gms| Sugar: 16.99 Gms| Fat: 38.07 Gms| Saturated fat: 15.82 Gms| Protein: 20.20 Gms| Sodium: 1744.70 Mg Contains: Gluten, Soybean , Milk """,Veg,['Best Seller'],4.3
Whopper Jr Veg Stacker.,139,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours. Qty: 228 Gms| Kcal: 695.26 | Carbs 67.94 Gms| Sugar: 16.99 Gms| Fat: 38.07 Gms| Saturated fat: 15.82 Gms| Protein: 20.20 Gms| Sodium: 1744.70 Mg Contains: Gluten, Soybean , Milk """,Non Veg,[],4.6
Whopper Jr Chicken with Cheese Slice.,139,"""Crunchy Juicy whole muscle chicken patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours Qty: 227 Gms| Kcal: 607.27 | Carbs 55.14 Gms| Sugar: 31.59 Gms| Fat: 31.59 Gms| Saturated fat: 11.58 Gms| Protein: 25.58 Gms| Sodium: 1793.87 Mg Contains: Gluten, Soybean , Milk """,Non Veg,[],4.6
Whopper Jr Veg with Cheese Slice.,139,"""Crunchy Juicy whole muscle chicken patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours Qty: 227 Gms| Kcal: 607.27 | Carbs 55.14 Gms| Sugar: 31.59 Gms| Fat: 31.59 Gms| Saturated fat: 11.58 Gms| Protein: 25.58 Gms| Sodium: 1793.87 Mg Contains: Gluten, Soybean , Milk """,Non Veg,[],5.0
Whopper Jr Chicken,169,"Crispy Fries With Tangy Peri Peri Spice. Qty: 119 Gms| Kcal: 345.3 | Carbs 447.6 Gms| Sugar: 0.9 Gms| Fat: 14.7 Gms| Saturated fat: 6.8 Gms| Protein: 6.3 Gms| Sodium: 998.8 Mg Contains: Soybean, Milk",Veg,[],4.9
Mutton Whopper Jr,219,The Perfect Crispy Partner Qty: 156 Gms| Kcal: 455 | Carbs 609.48 Gms| Sugar: 0 Gms| Fat: 19.7 Gms| Saturated fat: 9.31 Gms| Protein: 8 Gms| Sodium: 723.7 Mg Contains: Gluten,Non Veg,[],4.9
Jr Whopper Stacker ��� Chicken,259,"Crispy French Fries, Loads of Cheese, Yum!",Veg,[],4.1
Original Whopper Veg Stacker,283,The perfect crispy partner.,Veg,[],4.1
Original Whopper Chicken Stacker,313,The perfect crispy partner.,Veg,['Best Seller'],4.6
"Paneer Royale Wrap,",169,"MRP. 260 | Save Rs. 91, The perfect crispy partner.",Veg,[],4.6
Paneer Royale Wrap,229,The Perfect Crispy Partner. Qty: 114 Gms| Kcal: 332.5 | Carbs 445.39 Gms| Sugar: 0 Gms| Fat: 14.4 Gms| Saturated fat: 6.8 Gms| Protein: 5.9 Gms| Sodium: 528.8 Mg Contains: Gluten,Non Veg,[],4.7
Hot 'N' Saucy Burger,209,"Crispy Fries With Tangy Peri Peri Spice. Qty: 161 Gms| Kcal: 467.8 | Carbs 611.7 Gms| Sugar: 0.9 Gms| Fat: 20 Gms| Saturated fat: 9.3 Gms| Protein: 8.4 Gms| Sodium: 1193.7 Mg Contains: Gluten, Soybean",Non Veg,[],4.7
"Hot 'N' Saucy Burger,",169,"Qty: 20 Gms| Kcal: 81.4 | Carbs 3.3 Gms| Sugar: 1.8 Gms| Fat: 7.4 Gms| Saturated fat: 1.3 Gms| Protein: 0.3 Gms| Sodium: 194 Mg Contains: Soybean , Milk",Veg,[],5.0
"Crunchy Chicken Wrap,",169,Peri Peri Spice Mix. Qty: 5 Gms| Kcal: 12.8 | Carbs 2.2 Gms| Sugar: 0.9 Gms| Fat: 0.3 Gms| Saturated fat: 0 Gms| Protein: 0.4 Gms| Sodium: 470 Mg Contains: Soybean,Non Veg,[],3.9
Crunchy Chicken Wrap,229,"""Cheesy Fries with hot and sweet Korean glaze. Qty: 174 Gms| Kcal: 496.70 | Carbs 53.57 Gms| Sugar: 10.88 Gms| Fat: 28.29 Gms| Saturated fat: 10.14 Gms| Protein: 6.94 Gms| Sodium: 1469.93 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,[],4.5
Chicken Tandoori Burger,209,"""Cheesy Fries with hot and sweet Korean glaze. Qty: 174 Gms| Kcal: 496.70 | Carbs 53.57 Gms| Sugar: 10.88 Gms| Fat: 28.29 Gms| Saturated fat: 10.14 Gms| Protein: 6.94 Gms| Sodium: 1469.93 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Non Veg,[],4.1
"Chicken Tandoori Burger,",169,"""Crispy savoury pastry with a filling of tomato sauce with corn, carrots, bell peppers, peas and mozzarella. Caution: Served Hot.",Veg,[],3.0
"Korean Spicy Paneer Burger,",259,"""Crispy savoury pastry with a filling of tomato sauce with corn, carrots, bell peppers, peas and mozzarella. Caution: Served Hot. Qty: 80 Gms| Kcal: 208 | Carbs 27.56 Gms| Sugar: 1.28 Gms| Fat: 8.04 Gms| Saturated fat: 4.6 Gms| Protein: 6.3 Gms| Sodium: 341 Mg Contains: Gluten, Soybean , Milk """,Non Veg,[],4.8
Korean Spicy Paneer Burger!,299,Vegetarian's favourite finger food.,Non Veg,[],4.7
"Korean Spicy Chicken Burger,",259,"Qty: 85 Gms| Kcal: 246.8 | Carbs 30.1 Gms| Sugar: 3.5 Gms| Fat: 11.9 Gms| Saturated fat: 5.7 Gms| Protein: 4.8 Gms| Sodium: 441.4 Mg Contains: Gluten, Soybean",Non Veg,[],3.7
Korean Spicy Chicken Burger!,299,"Fried golden brown potatoes with a desi masala twist. Qty: 60 Gms| Kcal: 158 | Carbs 19.7 Gms| Sugar: 1 Gms| Fat: 8.1 Gms| Saturated fat: 3.9 Gms| Protein: 1.7 Gms| Sodium: 500 Mg Contains: Gluten, Soybean",Veg,[],3.3
Medium Peri Peri Fries,144,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip,Non Veg,[],4.7
King Fries,139,"Tender Crunchy Chicken Nuggets Fried To Golden Brown Perfection. Served With 1 Dip Qty: 126 Gms| Kcal: 336.9 | Carbs 25 Gms| Sugar: 2.2 Gms| Fat: 18.8 Gms| Saturated fat: 7 Gms| Protein: 16.8 Gms| Sodium: 283 Mg Contains: Soybean, Milk",Veg,[],4.6
Saucy Fries,145,"Qty: 200 Gms | Kcal: 548.3 | Carbs 39.3 Gms | Sugar: 4 Gms | Fat: 32 Gms | Saturated fat: 11.2 Gms | Protein: 25.4 Gms | Sodium: 401.3 Mg Contains: , Soybean , Milk",Veg,[],4.2
Regular Fries.,59,"Tender Crunchy Chicken Nuggets Fried To Golden Brown Perfection. Served With 2 Dips Of Your Choice Qty: 200 Gms| Kcal: 548.3 | Carbs 39.3 Gms| Sugar: 4 Gms| Fat: 32 Gms| Saturated fat: 11.2 Gms| Protein: 25.4 Gms| Sodium: 401.3 Mg Contains: Soybean, Milk",Veg,[],2.7
2 Med Fries.,139,"Tender Crunchy Chicken Nuggets Fried To Golden Brown Perfection. Served With 3 Dips Of Your Choice Qty: 380 Gms| Kcal: 1015.3 | Carbs 75.5 Gms| Sugar: 6.7 Gms| Fat: 56.7 Gms| Saturated fat: 21.1 Gms| Protein: 50.6 Gms| Sodium: 608.7 Mg Contains: Soybean, Milk",Veg,[],4.6
"2 King Fries,",169,"4Pcs Boneless Chicken Bites Qty: 95 Gms| Kcal: 213 | Carbs 16 Gms| Sugar: 0 Gms| Fat: 9.2 Gms| Saturated fat: 5.2 Gms| Protein: 16.8 Gms| Sodium: 555 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.3
Medium Fries,119,"7Pcs Boneless Chicken Bites Qty: 165 Gms| Kcal: 371 | Carbs 27.9 Gms| Sugar: 0 Gms| Fat: 16 Gms| Saturated fat: 9.1 Gms| Protein: 29.2 Gms| Sodium: 963.8 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.7
King Peri Peri Fries,159,"Chicken Wings Fried To Perfection. Qty: 70 Gms| Kcal: 150 | Carbs 8.1 Gms| Sugar: 0 Gms| Fat: 9.3 Gms| Saturated fat: 3.6 Gms| Protein: 15.9 Gms| Sodium: 404 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.9
Fiery Hell Dip,23.81,"Chicken Wings Fried To Perfection. Qty: 140 Gms| Kcal: 300 | Carbs 16.2 Gms| Sugar: 0 Gms| Fat: 18.6 Gms| Saturated fat: 7.2 Gms| Protein: 31.8 Gms| Sodium: 807.8 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.8
Peri Peri Spice Mix,28.57,Juicy chicken wings cooked to perfection.,Veg,[],3.9
"Korean Spicy Fries,",139,"Chicken Wings Fried To Perfection. Qty: 350 Gms| Kcal: 750 | Carbs 40.1 Gms| Sugar: 0 Gms| Fat: 47 Gms| Saturated fat: 18.5 Gms| Protein: 79.9 Gms| Sodium: 2020 Mg Contains: Gluten, Soybean, Milk",Veg,[],4.7
Korean Spicy Fries!,159,"Chicken Wings Fried To Perfection. Qty: 525 Gms| Kcal: 1125 | Carbs 60.8 Gms| Sugar: 0 Gms| Fat: 69.8 Gms| Saturated fat: 27 Gms| Protein: 119.3 Gms| Sodium: 3030 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.9
BK Veg Pizza Puff.,59,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 155 Gms| Kcal: 350.176 | Carbs 27.51 Gms| Sugar: 0 Gms| Fat: 15.5 Gms| Saturated fat: 5.75 Gms| Protein: 25.16 Gms| Sodium: 1592.60 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Non Veg,[],3.6
BK Veg Pizza Puff,65,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 221 Gms| Kcal: 595.04 | Carbs 24.77 Gms| Sugar: 0 Gms| Fat: 39.89 Gms| Saturated fat: 15.25 Gms| Protein: 34.23 Gms| Sodium: 2188.96 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,[],4.2
