item_name,price,description,dietery,features,rating
Chicken Tikka Wrap,230,"flacky paratha filled with onion,egg masala",Veg,[],4.4
Indian Masala Wrap Non Veg,260,"flacky wrap filled with assorted topping of veggies stir fry, and Chicken chunks",Veg,[],4.6
Egg Frankie,215,flacky wrap filled with boiled chicked and spices,Veg,[],4.6
Egg Masala Grilled Wrap,240,8-10 Pcs Mix Vegitable Pakora (serves 2),Veg,[],4.6
Mexican Wrap Non Veg,245,(2 pcs With Raita & Achar ),Non Veg,[],4.5
Spicy Shredded Chicken Wrap,270,2 Pcs Serves -1,Non Veg,[],4.6
Assorted Pakora Basket,260,(2 pcs With Raita & Achar ),Non Veg,[],3.0
Aloo Tava Paratha,230,(2 pcs With Raita & Achar ),Non Veg,[],5.0
Chhola Bhatura,215,8 pcs assorted paneer pakora,Non Veg,[],4.2
Pyaaz Tava Paratha,230,( Paneer & Veg. with Raita and Achar),Non Veg,[],4.5
French Fries with dip,220,(Keema &Egg With Raita &Achar) 1 Pcs Serves-1,Non Veg,[],4.2
Paneer Tava Paratha,250,8 Pcs Fried Fish Finger serves with Tartar Sauce,Non Veg,[],4.3
Paneer Pakora,250,"Plain Dosa is a thin crepe , a popular South Indian breakfast recipe that is crispy & healthy",Non Veg,[],3.8
Mumbai Pav Bhaji,220,Masala dosa are crisp rice and lentil crepes stuffed with spiced and savory potato filling,Veg,[],2.5
Mughlai Paratha,250,"Butter flavour perfectly light, soft, crispy crepes stuffed with a savory, wonderfully spiced potato and onion",Veg,[],4.2
Mughlai Paratha Non Veg,300,Its crispy Indian savory crepe with a delicious filling made from paneer,Veg,[],4.6
Fish Finger with Tartar Sauce,575,"Its perfectly light, soft, crispy crepes stuffed with a savory, wonderfully spiced potato and onion",Veg,[],4.9
Plain Dosa,210,Spring dosa is Indian fermented crepe made with Chinese-style stir-fried vegetable filling,Veg,['Best Seller'],4.5
Masala Dosa,240,Its crispy Indian savory crepe made with Rava.,Veg,[],4.8
Butter Masala Dosa,250,Its crispy Indian savory crepe made with Rava and chooped onion and chilla masala filled inside it.,Veg,[],4.3
Paneer Dosa,270,Its crispy Indian savory crepe made with Rava and potato masala filled inside it.,Veg,[],4.9
Aryan Special Paper Dosa,260,"Rava dosa is a thin crisp fried crepe made with semolina, rice flour, and filling made from paneer.",Veg,[],3.1
Special Onion Masala Dosa,300,Soft cooked mushy rice is simply mixed with curd (Indian yogurt) and salt (Served with Sambhar & Chutney),Veg,[],3.8
Spring Dosa,275,"Rice with a tempering of mustard seeds, chana dal, green chilli and rosted peanut and lemone flavored.(Served with Sambhar & Chutney)",Veg,['Best Seller'],3.2
Rava Plain Dosa,255,It is a popular uttapam variant where these pancakes are topped with paneer masala.,Veg,[],4.7
Rava Onion Dosa,260,"Mix- Uttapam is a popular uttapam variant where these pancakes are topped with onions,tomato & chilli.",Non Veg,[],4.8
Rava Masala Dosa,270,"Popular South Indian breakfast snack of donut shaped lentil fritters that are fluffy, crispy, soft and delicious Served with Sambhar",Non Veg,[],4.6
Rava Paneer Dosa,290,A round shaped steamed rice-lentil cake served with Sambhar,Veg,[],4.4
Curd Rice,270,Assorted Vegetables stir fried with rice in chinese sauces and spices - serves 2-3 ( 650 ML),Veg,[],4.9
Lemon Rice,270,Paneer Cubes & Assorted Vegetables stir fried with rice in chinese sauces and spices - serves 2-3( 650 ML),Veg,['Best Seller'],4.5
Moong Dal Chilla (Veg. Stuffed),230,"Most flavouful, spicy & hot rice made using schezuan sauce and assorted vegetables - serves 2-3 ( 650 ML)",Veg,[],4.3
Moong Dal Chilla (Paneer),240,"Asian Chinese-style garlic noodles recipe includes rice cooked with dry red chilies and red chili sauce for a vibrant, lightly spicy dish with assorted vegetables - serves 2-3",Veg,[],4.9
Uttapam Paneer,290,Egg omelette & Assorted Vegetables stir fried with rice in chinese sauces and spices - serves 2-3 ( 650 ML),Veg,[],4.8
Uttapam Mix,270,Shredded Chicken & Assorted Vegetables stir fried with rice in chinese sauces and spices - serves 2-3 ( 650 ML),Veg,[],5.0
Vada Sambhar,225,"Most flavouful, spicy & hot rice made using schezuan sauce and assorted vegetables & shredded chicken - serves 2-3 ( 650 ML)",Veg,[],4.6
Idli Sambhar,225,"Asian Chinese-style garlic noodles recipe includes rice cooked with dry red chilies and red chili sauce for a vibrant, lightly spicy dish with assorted vegetables & chicken - serves 2-3",Veg,[],4.6
Fried Rice - Veg,375,Assorted Vegetables stir fried with noodles in chinese sauces and spices - serves 2-3( 650 ML),Veg,[],4.1
Paneer Fried Rice,385,"Colourful exotic vegitables,spices and soy souce. - serves 2-3 ( 650 ML)",Veg,[],4.4
Veg Schezuan Rice,395,"Yellow in colour, stir-fried cooked noodles, curry powder, vegetables - serves 2-3 ( 650 ML)",Veg,[],4.6
Veg Chilli Garlic Rice,390,Paneer Cubes & Assorted Vegetables stir fried with noodles in chinese sauces and spices - serves 2-3( 650 ML),Veg,[],4.7
Egg Fried Rice,370,"Asian Chinese-style garlic noodles recipe includes noodles / rice cooked with dry red chilies and red chili sauce for a vibrant, lightly spicy dish with assorted vegetables - serves 2-3 ( 650 ML)",Veg,[],5.0
Fried Rice - Chicken,395,"Most flavouful, spicy & hot noodles made using schezuan sauce and assorted vegetables - serves 2-3 ( 650 ML)",Veg,[],3.9
Schezuan Rice Non Veg,415,"Crispy Fried Noodles served with vegetables cooked in tangy, sweet, spiced sauce - serves 2-3 ( 650 ML)",Veg,[],4.5
Chicken Chilli Garlic Rice,410,"Asian Chinese-style garlic noodles recipe includes noodles / rice cooked with dry red chilies and red chili sauce for a vibrant, lightly spicy dish with assorted vegetables & chicken - serves 2-3 ( 650 ML)",Veg,[],5.0
Veg. Chowmein,375,Shredded Chicken & Assorted Vegetables stir fried with noodles in chinese sauces and spices - serves 2-3( 650 ML),Veg,[],4.8
Veg Hakka Noodles,400,Egg omelette & Assorted Vegetables stir fried with noodles in chinese sauces and spices - serves 2-3 ( 650 ML),Veg,[],5.0
Veg Singapore Style Noodles,390,"Colourful exotic vegitables,spices and soy souce and chicken chunks. - serves 2-3 ( 650 ML)",Veg,[],4.9
Paneer Chowmein,380,"Most flavouful, spicy & hot noodles made using schezuan sauce and assorted vegetables & shredded chicken - serves 2-3 ( 650 ML)",Veg,[],4.5
Veg Chilly Garlic Noodles,390,"Yellow in colour, stir-fried cooked noodles, curry powder, vegetables and chicken chunks - serves 2-3 ( 650 ML)",Veg,['Best Seller'],4.6
Veg Schezuan Noodles,400,"Crispy Fried Noodles served with shredded chicken & vegetables cooked in tangy, sweet, spiced sauce - serves 2-3 ( 650 ML)",Veg,[],4.5
Veg American Chop Suey,425,Gravy preparation of deep fried paneer cubes cooked with chinese sauces and spices and chillies (12-15 pcs) 400 ML,Veg,[],2.4
Chilly Garlic Noodles Non Veg,410,Gravy preparation of deep fried veg balls cooked in tangy chinese sauces and spices with chopped vegetables (12-15 pcs),Veg,[],4.9
Chicken Chowmein,395,Gravy preparation of deep fried paneer cubes cooked in tangy chinese sauces and spices with chopped vegetables (12-15 pcs),Non Veg,[],4.3
Egg Chowmein,375,Lot of fresh vegetables with spicy schezuan sauce - serves 2-3,Non Veg,[],4.8
Hakka Noodles Non Veg,415,Gravy preparation of deep fried veg balls cooked with chinese sauces and spices and chillies (12-15 pcs),Non Veg,[],4.7
Schezuan Noodles Non Veg,415,Gravy preparation of deep fried Mushroom chunks cooked with chinese sauces and spices and chillies (12-15 pcs),Non Veg,[],4.8
Singapore Style Noodles Non Veg,410,Gravy preparation of deep fried Mushroom chunks cooked in tangy chinese sauces and spices with chopped vegetables (12-15 pcs),Veg,[],4.9
American Chop Suey Non veg,435,Lot of fresh vegetables chopped and cooked in sweet sour sauces and spices - serves 2-3,Veg,[],3.6
Paneer Chilli Gravy,415,One hot pot packs a lot of fresh vegetables with garlic and red chilli being the primary tastemakers - serves 2-3,Veg,[],5.0
Veg. Manchurian Gravy,410,Gravy preparation of deep fried Chicken balls cooked in tangy chinese sauces and spices with chopped vegetables (12-15 pcs),Veg,[],4.3
Paneer Manchurian Gravy,415,Gravy preparation of deep fried Chicken balls cooked with chinese sauces and spices and chillies (12-15 pcs),Veg,[],4.7
Schezuan Vegetable,400,gravy preparation of deep fried fish cubes cooked with chinese sauces and spices and chillies (12-15 pcs),Veg,[],4.6
Veg. Chilli Gravy,400,One hot pot packs a lot of fresh vegetables & shredded chicken with garlic and red chilli being the primary tastemakers - serves 2-3,Veg,[],4.8
Mushroom chilli Gravy,425,Gravy preparation of deep fried mutton balls cooked with chinese sauces and spices and chillies (12-15 pcs),Non Veg,[],4.8
Mushroom Manchurian Gravy,430,Lot of fresh vegetables & shredded chicken with spicy schezuan sauce - serves 2-3,Non Veg,[],4.2
Vegetable Sweet & Sour,400,Mild sweet yellow garvy made with butter and topped with mozrilla cheese. 400 ml - serves 2-3,Non Veg,[],4.6
Vegetable Hot Garlic,400,Mild spicy garlic flavour paneer dish 400 ml - serves 2-3,Non Veg,[],4.7
Chicken Manchurian Gravy,460,"It’s a spicy warming ,flavourful dish made by cooking paneer and capsicum in a fragrant 400 ml - serves 2-3",Non Veg,[],4.4
Chilli Chicken Gravy,460,cooked in indian style gravy 400 ml - serves 2-3,Non Veg,[],4.5
Fish Chilli Gravy,550,cooked in indian style gravy 400 ml - serves 2-3,Non Veg,[],4.4
Hot Garlic Chicken,440,Paneer cooked with delicious aromatc gravy that has mild sweet and slightly tangy taste 400 ml - serves 2-3,Veg,[],4.3
Mutton Chilli Gravy,530,Black paper flavoured creamy gravy 400 ml - serves 2-3,Veg,['Best Seller'],5.0
Schezuan Chicken,440,slightly sweet dish of paneer which gravy made with butter 400 ml - serves 2-3,Veg,[],3.3
Butter Cheese Masala,435,Paneer cooked in flavourful rich creamy orange gravy 400 ml - serves 2-3,Veg,[],4.7
Handi Paneer,425,tandoori paneer tikka cooked with spicy warming flavourful gravy 400 ml - serves 2-3,Veg,[],4.5
Kadhai Paneer,425,Prepared with paneer ground spices and cashew and onion gravy. 400 ml - serves 2-3,Veg,[],4.4
Matar Paneer,410,Paneer cooked with slightly sweet and rich creamy gravy 400 ml - serves 2-3,Veg,[],4.9
Palak Paneer,410,400 ml - serves 2-3,Veg,[],4.3
Paneer Do Pyaza,410,Tangy Paneer cooked in flavourful rich radish gravy 400 ml - serves 2-3,Veg,[],4.0
Paneer Kali Mirch,425,"Whole black lentils & red kidney beans are slow cooked with spices, butter & cream. 400 ml - serves 2-3",Veg,[],3.1
Paneer Makhani,425,"Made by using different lentils (dals), with garlic flavoured. 400 ml - serves 2-3",Non Veg,[],4.3
Paneer Lababdar,435,"Indian lentil recipe that is made with tur dal , onions, tomatoes and spices. 400 ml - serves 2-3",Non Veg,[],4.7
Paneer Tikka Masala,430,"Dal Bukhara is a rich, flavorful lentil recipe made with black gram, tomatoes,and cream. 400 ml - serves 2-3",Non Veg,[],4.4
Paneer Peshawari,420,spicy preparation made by cooking chickpeas with an onion tomato masala. 400 ml - serves 2-3,Non Veg,[],4.4
Shahi Paneer,435,spicy preparation made by cooking chickpeas with an onion tomato masala. 400 ml - serves 2-3,Non Veg,[],4.9
Tamatar Paneer Ki Bhurji,410,Button mashroom curry made with black paper flavor curry. 400 ml - serves 2-3,Non Veg,[],4.5
Paneer Taka-Tak,425,Rich thick and creamy Mashroom made with white button mashroom and indian spices. 400 ml - serves 2-3,Veg,[],4.9
Dal Makhani,330,"Its made with mashroom ,peas ,onion spices and herbs. 400 ml - serves 2-3",Veg,[],5.0
Dal Handi,315,(Red Curry)Stuffed patotaos made with tomato gravy mild sweet and tangy flavor. 400 ml - serves 2-3,Veg,[],4.7
Dal Sultani (Arhar Fry),300,Stuffed patotaos made with golden yellow gravy mild spicy flavor. 400 ml - serves 2-3,Veg,['Best Seller'],4.9
Dal Bukhara,320,"Flavourful north indian dish made with potatos ,spices and herb. 400 ml - serves 2-3",Veg,[],4.3
Chana Pindi,295,A dry version of potatoes couliflower and green peas curry seasoned with indian spices. 400 ml - serves 2-3,Veg,[],5.0
Kabuli Chana,295,"A healthy bowl of veggies with rich creamy, loaded with melted cheese layers wrapped around . 400 ml - serves 2-3",Veg,[],4.8
Kalimirch Mushroom,430,Flavourful patotos cooked with whole spices. 400 ml - serves 2-3,Veg,[],4.1
Mushroom Masala,430,"Its mildy sweet and spicy combination made with fenugreek leaves ,peas ,corn and cream. 400 ml - serves 2-3",Veg,[],4.6
Mushroom Matar,430,It’s a indian stir fried mixed vegitables sauteed in high fire with regular spices. 400 ml - serves 2-3,Veg,[],4.7
Aloo Dum - Hyderabadi,390,It’s a indian stir fried mixed vegitables sauteed with regular spices. 400 ml - serves 2-3,Veg,[],4.9
Aloo Dum - Banarsi,390,"Mixed vegitables deep fried koftas rainforced with the goodness of green like spinch,coriender and fenugreek. 400 ml - serves 2-3",Veg,[],5.0
Jeera Aloo,315,Mixed vegitables fried balls cooked in redies yellow grevy and mild spicy dish. 400 ml - serves 2-3,Veg,[],4.3
Aloo Gobhi Matar,315,Delicious dish of fried balls of patato and paneer in a rich and creamy gravy made with sweet onion and tomato. 400 ml - serves 2-3,Veg,[],4.6
Baked Veg.,425,Slightly sweet dish of Chicken which gravy made with butter and cream .,Veg,[],4.3
Khade Masalae ke Aloo,315,"Made with Lemon, yogurt, masalas and green chilli that are infused together to cook",Veg,[],5.0
Methi Matar Malai Corn,390,"Chicken cooked in chatpata spinach gravy, serves 2",Veg,[],2.3
Veg. Jalfrezi,375,"It’s a spicy warming ,flavourful dish made by cooking chicken and capsicum in a fragrant.",Veg,[],4.8
Mixed Vegetable,375,"6 pcs boneless Chicken cooked in chatpati Indian curry, serves 2",Veg,[],4.3
Kofta Punjabi,400,"Chicken cooked on slow flame, serves 2",Veg,[],2.7
Kofta Haryali,400,Boneless Chicken pieces cooked in flavourful rich creamy orange gravy .,Veg,[],4.8
Lazeez Malai Kofta,415,Tandoori Chicken tikka cooked with spicy warming flavourful gravy,Veg,[],4.2
Butter Chicken,385,Mild spicy garlic flavour chicken dish,Veg,[],5.0
Mirch Masala Murg,385,"Chicken curry chicken breasts are slowly simmered in a spicy curry sauce with yogurt, tomatoes, onion, garlic, and ginger.",Veg,[],4.8
Tangri Masala (4 Pcs),720,Black Pepper flavoured creamy gravy .,Veg,[],3.1
Kadhai Chicken,385,"Chicken pecies made with chicken, spices, herbs, onions and tomatoes.",Veg,[],4.2
Murg Makhmali (Boneless),410,Chicken cooked with delicious aromatc gravy that has mild sweet and slightly tangy taste.,Veg,[],5.0
